rooms,square,living_space,kitchen_scace,curr_floor,max_floor,home_type,build_year,district,serv_lift,pass_lift,parking,loggia,balcony,garbage_chute,bathroom,repair_type,wind_view,emergency_exit,avg_price_for_m,avg_room_price,price
1,39.37,16.4,9.7,2,25,nan,nan,Ленинский,0,1,1,0,1,0,nan,nan,nan,nan,265095.0,37115301.0,195941.0
1,40.0,20.0,10.0,8,9,Панельный,nan,Ворошиловский,0,0,0,0,0,0,nan,nan,nan,1,257326.0,22605996.0,195000.0
0,38.15,25.8,nan,1,16,nan,nan,Пролетарский,0,1,1,0,1,0,nan,nan,nan,nan,257326.0,22605996.0,198380.0
1,41.0,20.0,10.0,1,4,Кирпичный,2017,Первомайский,0,0,1,1,1,0,1,Без ремонта,Во двор,nan,257326.0,22605996.0,199900.0
1,40.0,nan,nan,25,25,Монолитный,nan,Советский,1,1,0,1,0,0,nan,nan,На улицу,nan,257326.0,22605996.0,195000.0
1,37.0,17.0,10.0,1,4,Кирпичный,2010,Пролетарский,0,0,1,0,0,0,nan,Евроремонт,На улицу и двор,nan,257326.0,22605996.0,195000.0
3,84.86,45.8,12.3,21,25,nan,nan,Ленинский,0,1,1,0,1,0,nan,nan,nan,nan,nan,nan,448336.0
2,65.0,30.0,14.0,10,19,nan,2018,Октябрьский,1,1,1,1,0,0,nan,nan,nan,nan,nan,nan,270200.0
1,37.0,nan,nan,4,24,Кирпичный,nan,Железнодорожный,0,0,0,0,0,0,nan,nan,nan,1,255976.0,21561848.0,147420.0
0,33.73,nan,20.6,2,18,Монолитный,nan,Железнодорожный,0,1,1,0,0,0,nan,nan,nan,nan,255976.0,21561848.0,202380.0
1,36.0,nan,nan,1,4,nan,2013,Советский,0,0,1,0,1,0,nan,nan,nan,nan,255976.0,21561848.0,200000.0
1,34.84,12.0,9.9,13,17,nan,nan,Ленинский,1,1,1,1,0,0,nan,nan,nan,nan,255976.0,21561848.0,202072.0
1,23.0,nan,nan,1,9,Панельный,1986,Ворошиловский,0,1,0,0,0,1,nan,Евроремонт,Во двор,1,257326.0,22605996.0,200000.0
1,48.0,20.0,17.0,9,19,nan,2018,Ворошиловский,1,1,0,1,0,0,nan,Без ремонта,Во двор,nan,257326.0,22605996.0,205000.0
1,38.0,19.0,7.0,8,12,Кирпичный,2014,Советский,1,1,1,1,0,0,nan,Евроремонт,Во двор,nan,257326.0,22605996.0,205000.0
2,44.7,21.2,9.0,10,14,nan,nan,Советский,0,1,1,0,1,0,nan,nan,nan,nan,257326.0,22605996.0,211431.0
1,44.6,18.1,10.9,13,16,nan,nan,Ворошиловский,1,1,1,0,1,0,nan,nan,nan,nan,257326.0,22605996.0,214080.0
2,50.0,26.0,12.0,5,9,Кирпичный,nan,Ворошиловский,0,0,0,0,0,0,nan,nan,nan,1,257326.0,30920232.0,210000.0
1,47.4,18.9,11.1,7,17,Кирпичный,nan,Ворошиловский,0,0,0,0,0,0,nan,nan,nan,1,257326.0,22605996.0,210000.0
1,41.1,17.0,10.0,1,16,nan,nan,Пролетарский,0,1,1,1,0,0,nan,nan,nan,nan,257326.0,22605996.0,213720.0
1,28.0,15.0,8.0,5,20,nan,2014,Железнодорожный,0,0,0,1,0,1,nan,nan,nan,1,255976.0,21561848.0,210000.0
1,45.5,17.8,10.9,10,16,nan,nan,Ворошиловский,1,1,1,0,1,0,nan,nan,nan,nan,255976.0,21561848.0,212940.0
4,136.0,nan,nan,3,22,nan,2017,Кировский,0,1,0,1,0,0,nan,nan,nan,1,268787.0,83141856.0,1200000.0
2,65.98,36.0,12.2,2,25,nan,nan,Ленинский,0,1,1,1,0,0,nan,nan,nan,1,265095.0,37115301.0,394072.0
2,65.0,30.0,14.0,10,19,nan,2018,Октябрьский,1,1,1,1,0,0,nan,nan,nan,nan,265095.0,37115301.0,270200.0
2,37.0,29.0,8.0,2,2,nan,1904,Ленинский,0,0,0,0,0,0,nan,Косметический,Во двор,1,265095.0,37115301.0,210000.0
1,45.4,17.2,11.4,17,21,nan,nan,Советский,0,1,1,0,1,0,nan,nan,nan,nan,265095.0,37115301.0,218828.0
1,37.2,18.0,9.0,8,19,nan,2018,Советский,1,1,1,1,0,0,nan,nan,nan,nan,265095.0,37115301.0,216700.0
1,42.44,12.9,19.9,2,25,nan,nan,Ленинский,0,1,1,0,1,0,nan,nan,nan,nan,265095.0,37115301.0,216399.0
1,44.0,19.0,12.0,15,19,Монолитный,2015,Октябрьский,0,1,0,0,0,1,nan,Косметический,nan,1,259116.0,23024144.0,215000.0
1,37.33,15.4,12.3,25,25,nan,nan,Ленинский,0,1,1,0,1,0,nan,nan,nan,nan,259116.0,23024144.0,216566.0
1,41.55,16.4,10.9,15,16,nan,nan,Пролетарский,0,1,1,0,1,0,nan,nan,nan,nan,259116.0,23024144.0,216060.0
1,37.15,14.3,6.4,2,17,nan,nan,Ленинский,1,1,1,1,1,0,nan,nan,nan,nan,259116.0,23024144.0,215470.0
2,43.27,22.2,8.0,8,20,nan,nan,Советский,0,1,1,1,0,0,nan,nan,nan,nan,259116.0,23024144.0,220677.0
1,41.2,17.1,14.4,1,14,nan,nan,Советский,0,1,1,0,0,0,nan,nan,nan,nan,259116.0,23024144.0,220420.0
1,40.0,20.0,10.0,2,10,Кирпичный,nan,Первомайский,0,0,0,0,0,0,nan,nan,nan,1,253643.0,20172455.0,220000.0
1,35.0,17.0,8.0,4,10,Кирпичный,nan,Первомайский,0,0,0,0,0,0,nan,nan,nan,1,253643.0,20172455.0,220000.0
1,41.25,20.2,8.7,21,23,nan,nan,Ворошиловский,1,1,1,1,0,0,nan,nan,nan,nan,253643.0,20172455.0,221904.0
0,42.75,28.5,nan,8,16,nan,nan,Пролетарский,0,1,1,0,1,0,nan,nan,nan,nan,253643.0,20172455.0,222300.0
